school_id,year,success,ela_success,math_success
460025,2011,8.667,8.583,8.75
460025,2012,8.426,8.333,8.519
460025,2013,8.272,8.148,8.395
460025,2014,8.148,7.926,8.37
460025,2004,6.136,,6.136
460030,2002,6.0,,6.0
460030,2003,5.939,,5.939
460030,2005,6.032,,6.032
460030,2007,6.87,6.911,6.829
460030,2008,7.817,7.302,8.333
460030,2009,7.838,7.838,7.838
460030,2010,7.52,7.642,7.398
460030,2011,7.917,8.397,7.436
460030,2012,7.051,7.372,6.731
460030,2013,7.484,7.296,7.673
460030,2014,7.96,7.91,8.01
460030,2004,6.389,,6.389
460035,2002,5.833,,5.833
460035,2003,6.199,,6.199
460035,2005,7.708,,7.708
460035,2007,7.561,7.398,7.724
460035,2008,7.222,7.222,7.222
460035,2009,6.875,7.25,6.5
460035,2010,7.248,7.442,7.054
460035,2011,7.523,8.108,6.937
460035,2012,7.455,7.758,7.152
460035,2013,7.639,7.87,7.407
460035,2014,6.288,6.742,5.833
460035,2004,6.964,,6.964
460040,2002,4.948,,4.948
460040,2003,5.333,,5.333
460040,2005,5.767,,5.767
460040,2007,6.429,7.202,5.655
460040,2008,6.815,7.024,6.607
460040,2009,7.202,7.679,6.726
460040,2010,7.823,7.957,7.688
460040,2011,7.799,7.925,7.673
460040,2012,7.849,8.011,7.688
460040,2013,7.47,7.738,7.202
460040,2014,7.477,7.117,7.838
460040,2004,6.032,,6.032
460045,2002,7.193,,7.193
460045,2003,5.519,,5.519
460045,2005,7.481,,7.481
460045,2007,6.894,7.197,6.591
460045,2008,6.806,7.0,6.611
460045,2009,7.222,7.54,6.905
460045,2010,6.579,6.93,6.228
460045,2011,7.398,7.427,7.368
460045,2012,7.315,7.346,7.284
460045,2013,7.273,7.045,7.5
460045,2014,7.836,7.661,8.012
460045,2004,6.4,,6.4
480303,2002,5.176,,5.176
480303,2003,5.584,,5.584
480303,2005,5.783,,5.783
480303,2007,6.152,6.597,5.706
480303,2008,6.423,6.704,6.142
480303,2009,6.421,6.823,6.019
480303,2010,6.303,6.689,5.916
480303,2011,6.685,7.15,6.22
480303,2012,6.394,6.89,5.898
480303,2013,6.679,6.904,6.453
480303,2004,5.129,,5.129
490005,2002,3.778,,3.778
490005,2003,3.712,,3.712
490005,2005,4.839,,4.839
490005,2007,4.926,6.296,3.556
490005,2008,6.553,7.197,5.909
490005,2009,5.812,7.009,4.615
490005,2010,5.909,6.742,5.076
490005,2011,7.315,7.778,6.852
490005,2012,5.517,6.092,4.943
490005,2004,4.386,,4.386
490006,2002,3.333,,3.333
490006,2003,3.111,,3.111
490006,2005,2.222,,2.222
490006,2007,5.521,6.25,4.792
490006,2008,5.417,5.833,5.0
490006,2009,6.667,7.424,5.909
490006,2010,5.583,6.667,4.5
490006,2011,7.029,7.681,6.377
490006,2012,6.944,7.222,6.667
490006,2013,7.667,7.467,7.867
490006,2014,6.389,6.667,6.111
490006,2004,3.968,,3.968
490007,2002,3.833,,3.833
490007,2003,4.074,,4.074
490007,2005,4.946,,4.946
490007,2007,5.135,6.036,4.234
490007,2008,6.288,6.364,6.212
490007,2009,5.595,6.667,4.524
490007,2010,5.682,6.364,5.0
490007,2011,6.728,7.531,5.926
490007,2012,5.208,6.875,3.542
490007,2004,4.731,,4.731
490030,2002,2.639,,2.639
490030,2003,4.286,,4.286
490030,2005,2.456,,2.456
490030,2007,3.667,4.667,2.667
490030,2008,4.804,5.686,3.922
490030,2009,5.227,6.364,4.091
490030,2010,4.722,6.111,3.333
490030,2011,6.979,7.5,6.458
490030,2012,6.458,7.292,5.625
490030,2004,2.381,,2.381
490035,2002,3.529,,3.529
490035,2003,4.405,,4.405
490035,2005,4.186,,4.186
