NI,6.23,2006,00970505,85.4,89.5,17.0
P,6.376,2007,00970505,91.6,91.9,16.0
P,7.089,2008,00970505,97.6,96.7,15.5
P,7.004,2010,00970505,96.6,97.1,15.1
P,7.043,2011,00970505,98.7,100,14.9
P,7.52,2013,00970505,100,100,14.4
P,7.189,2014,00970505,98.7,98.4,14.5
NI,5.797,2006,02740083,100,100,11.9
P,6.358,2007,02740083,100,100,12.6
P,6.283,2008,02740083,97.3,96.5,12.3
P,6.47,2009,02740083,100,100,13.0
P,6.372,2010,02740083,99.5,99.4,11.4
P,6.93,2011,02740083,99.2,98.3,13.6
NI,6.185,2012,02740083,96.2,98.3,12.0
P,7.398,2013,02740083,96.9,85.5,11.4
P,6.694,2014,02740083,97.4,98.9,11.7
P,7.169,2008,00400305,100,100,13.4
P,7.651,2010,00400305,94.8,98.1,12.4
P,7.82,2013,00400305,100,100,12.8
P,6.935,2007,01850310,100,100,12.1
P,6.548,2008,01850310,100,100,12.2
P,7.395,2009,01850310,100,100,11.8
P,7.247,2012,01850310,95.7,95.6,14.1
P,7.409,2013,01850310,100,100,12.2
P,6.979,2014,01850310,100,100,12.6
P,7.027,2007,01780305,100,100,13.7
P,6.99,2009,01780305,100,92.8,13.8
P,6.904,2010,01780305,100,99.6,14.5
P,7.18,2011,01780305,98.6,91,12.8
P,7.43,2012,01780305,100,96.2,12.9
P,7.228,2014,01780305,98.4,98.4,13.6
NI,5.213,2011,00350020,100,98.8,10.7
NI,5.154,2012,00350020,100,97.8,12.5
NI,4.974,2013,00350020,95,92.1,13.6
NI,4.629,2014,00350020,97.3,81.7,13.9
NI,5.369,2007,00610310,96.8,93,11.9
NI,5.468,2008,00610310,91.1,91.9,13.9
NI,6.077,2009,00610310,95.1,92.4,11.5
P,6.721,2010,00610310,98.2,97.5,11.9
P,6.77,2012,00610310,97.2,92.5,12.8
P,6.554,2013,00610310,94.7,95,12.2
NI,6.108,2014,00610310,100,96.6,12.1
P,7.234,2006,00640505,100,100,15.1
P,7.917,2007,00640505,97.7,100,13.5
P,7.59,2008,00640505,94.8,100,14.8
P,7.579,2009,00640505,95.5,93.5,12.6
P,7.403,2010,00640505,97.7,98.6,12.6
P,7.887,2011,00640505,100,99.1,13.9
NI,4.562,2007,01630305,93.8,81.8,10.7
NI,4.756,2008,01630305,93.3,86.9,10.5
NI,5.581,2010,01630305,97,79.6,13.1
NI,5.273,2012,01630305,93.9,84.7,14.5
NI,5.94,2014,07780305,100,100,13.6
P,6.945,2007,00170305,95.7,90.8,12.6
P,6.743,2008,00170305,95.4,97.6,14.2
P,6.912,2009,00170305,97.6,98.3,13.3
P,7.03,2011,00170305,100,100,12.3
P,7.388,2012,00170305,100,100,12.9
P,7.297,2013,00170305,100,100,13.6
P,6.76,2014,00170305,100,100,13.5
NI,6.064,2012,00350658,96.5,93.3,13.6
P,6.3,2013,00350658,99,91.4,14.5
P,6.855,2006,03470410,100,100,10.1
P,6.871,2007,03470410,100,100,9.7
P,6.871,2008,03470410,94,99.6,9.9
P,6.481,2009,03470410,98,97.9,10.0
P,7.106,2011,03470410,97.9,100,10.6
P,6.645,2012,03470410,96.2,100,10.0
P,6.774,2013,03470410,100,100,11.2
P,6.747,2014,03470410,100,100,10.6
NI,5.94,2006,04740505,100,100,8.7
NI,6.096,2007,04740505,77.3,86.5,9.3
P,6.492,2008,04740505,78.5,94.6,10.0
NI,6.148,2009,04740505,87.9,100,10.2
P,7.045,2010,04740505,90,100,11.0
P,6.673,2011,04740505,86.5,88.4,10.9
P,7.532,2012,04740505,95.8,97.5,10.4
P,7.51,2013,04740505,93.7,98,9.8
NI,6.05,2006,00350582,81.8,81.3,10.6
NI,5.786,2007,00350582,87.4,82.6,14.5
NI,5.805,2008,00350582,91.7,89.3,14.3
NI,6.062,2009,00350582,100,94.3,14.1
NI,5.676,2011,00350582,93.7,78.6,14.3
NI,6.125,2007,00350262,91.7,88.2,13.3
NI,5.219,2008,00350262,97.4,98.6,12.8
NI,5.82,2009,00350262,97.4,94.3,13.2
P,6.336,2010,00350262,100,100,12.3
NI,5.898,2011,00350262,100,100,12.5
