address,town,name,type,id,lat,long
200 Heath Street,Jamaica Plain,James W Hennigan,Public School,350153,42.3260086,-71.10655229999999
60 Washington Street,Dorchester,Jeremiah E Burke High,Public School,350525,42.3071524,-71.08116199999999
40 Philbrick Street,Roslindale,John D Philbrick,Public School,350172,42.2853974,-71.1177405
7 Bolster Street,Jamaica Plain,John F Kennedy,Public School,350166,42.321678,-71.105503
315 Mt Vernon Street,Dorchester,John W McCormack,Public School,350179,42.3177527,-71.0438221
35 Brookford Street,Dorchester,John Winthrop,Public School,350180,42.3182059,-71.07562659999999
70 Worcester Street,Boston,Joseph J Hurley,Public School,350182,42.3387476,-71.07774680000001
155 Talbot Avenue,Dorchester,Joseph Lee,Public School,350183,42.2921266,-71.0802923
130 Louders Lane,Jamaica Plain,Joseph P Manning,Public School,350184,42.3055646,-71.1315235
650 E. Fourth Street,South Boston,Joseph P Tynan,Public School,350181,42.3346346,-71.0389242
885 Washington Street,Boston,Josiah Quincy,Public School,350286,42.34799,-71.064984
35 Baker Street,West Roxbury,Joyce Kilmer,Public School,350190,42.271834,-71.1625431
77 Lawrence Avenue,Dorchester,King K-8,Public School,350376,42.311055,-71.076481
25 Dunbar Avenue,Dorchester,Lee Academy,Public School,350001,42.2867458,-71.07272379999999
270 Columbia Road,Dorchester,Lilla G. Frederick Middle School,Public School,350383,42.3091746,-71.0755999
20 Mt. Vernon Street,West Roxbury,Lyndon,Public School,350262,42.2828592,-71.158638
50 Beechcroft Street,Brighton,Lyon K-8,Public School,350004,42.3510689,-71.1614678
95 Beechcroft Street,Brighton,Lyon Upper 9-12,Public School,350655,42.3521254,-71.1607454
75 Malcolm X Blvd,Roxbury,Madison Park High,Public School,350537,42.3320631,-71.09084519999999
110 Beachview Road,East Boston,Manassah E Bradley,Public School,350215,42.3916287,-71.00505319999999
20 Child Street,Boston,Margarita Muniz Academy,Public School,350549,42.3072631,-71.1142352
312 Border Street,East Boston,Mario Umana Academy,Public School,350656,42.3783625,-71.0407417
1 Parish Street,Dorchester,Mather,Public School,350227,42.308294,-71.0610051
100 Hebron Street,Mattapan,Mattahunt,Public School,350226,42.2763126,-71.1033928
40 Smith St,Roxbury,Maurice J Tobin,Public School,350229,42.333023,-71.098334
50 Burke Street,South Boston,Michael J Perkins,Public School,350231,42.3311857,-71.0509508
5 Mildred Avenue,Mattapan,Mildred Avenue K-8,Public School,350378,42.2768433,-71.09057469999999
20 Child Street,Jamaica Plain,Mission Hill School,Public School,350382,42.3072631,-71.1142352
236 Beech Street,Roslindale,Mozart,Public School,350237,42.2812332,-71.1410751
51 Cedar Street,Roxbury,Nathan Hale,Public School,350243,42.3255446,-71.09108599999999
655 Metropolitan Ave,Hyde Park,New Mission High School,Public School,350542,42.2627834,-71.1178807
40 School Street,Dorchester,O W Holmes,Public School,350138,42.29669150000001,-71.0748935
55 Malcolm X Blvd,Roxbury,O'Bryant School Math/Science,Public School,350575,42.330843,-71.08838589999999
745 E. 7th Street,South Boston,Oliver Hazard Perry,Public School,350255,42.3322914,-71.0302207
906 Albany Street,Roxbury,Orchard Gardens,Public School,350257,42.3305706,-71.0772767
343 Saratoga Street,East Boston,Patrick J Kennedy,Public School,350264,42.3784708,-71.0304096
325 Mt Vernon Street,Dorchester,Paul A Dever,Public School,350268,42.3172591,-71.04287219999999
429 Norfolk Street,Dorchester,Pauline Agassiz Shaw Elementary School,Public School,350014,42.282111,-71.0868557
426 Beech Street,Roslindale,Phineas Bates,Public School,350278,42.2777354,-71.1353323
152 Arlington Street,Boston,Quincy Upper School,Public School,350565,42.34842,-71.068867
61 School Street,Roxbury,Rafael Hernandez,Public School,350691,42.3139461,-71.0978672
1 Worrell Street,Dorchester,Richard J Murphy,Public School,350240,42.2943449,-71.0492968
35 Harvest Street,Dorchester,Roger Clap,Public School,350298,42.3230627,-71.0585214
165 Webster Street,East Boston,Samuel Adams,Public School,350302,42.3655183,-71.0349256
150 Norfolk Avenue,Roxbury,Samuel W Mason,Public School,350304,42.3261263,-71.0712839
189 Glenway Street,Dorchester,Sarah Greenwood,Public School,350308,42.29659669999999,-71.0806571
150 Newbury Street,Boston,Snowden International School at Copley,Public School,350690,42.350546,-71.0779697
9 Peacevale Road,Dorchester,TechBoston Academy,Public School,350657,42.285125,-71.0760129
144 McBride Street,Jamaica Plain,The English High,Public School,350535,42.3065838,-71.1092285
19 Oakton Avenue,Dorchester,Thomas J Kenny,Public School,350328,42.2865064,-71.0532317
85 Olney Street,Dorchester,UP Academy Holland,Public School,350167,42.3060151,-71.0736048
1205 V.F.W. Parkway,West Roxbury,Urban Science Academy,Public School,350579,42.28216889999999,-71.1745297
50 School Street,Charlestown,Warren-Prescott,Public School,350346,42.3778928,-71.0646338
105 Cummins Highway,Roslindale,Washington Irving Middle,Public School,350445,42.2833038,-71.1252748
1205 V.F.W. Parkway,West Roxbury,West Roxbury Academy,Public School,350658,42.28216889999999,-71.1745297
750 Columbia Road,Dorchester,William E Russell,Public School,350366,42.3203947,-71.0595479
35 Sunnyside Street,Hyde Park,William Ellery Channing,Public School,350360,42.2515745,-71.1334134
175 West Boundary Road,West Roxbury,William H Ohrenberger,Public School,350258,42.2608415,-71.14946619999999
90 Warren Avenue,Boston,William McKinley,Public School,350363,42.3442518,-71.07348979999999
135 Humboldt Avenue,Dorchester,William Monroe Trotter,Public School,350370,42.3157564,-71.0879868
54 Dighton Street,Brighton,Winship Elementary,Public School,350374,42.34757920000001,-71.15535009999999
20 Outlook Road,Mattapan,Young Achievers,Public School,350380,42.2822311,-71.0948051
11 Mayhew Street,Dorchester,Boston Collegiate Charter School,Charter School,4490305,42.3216567,-71.0608167
20 Kearsarge Ave,Roxbury,Boston Day and Evening Academy Charter School,Charter School,4240505,42.327022,-71.08171589999999
20 Warren St.,Brighton,Boston Green Academy Horace Mann Charter School,Charter School,4110305,42.3503536,-71.1455821
1286 Hyde Park Avenue,Hyde Park,Boston Preparatory Charter Public School,Charter School,4160305,42.254824,-71.12357999999999
1415 Hyde Park Ave,Hyde Park,Boston Renaissance Charter Public School,Charter School,4810550,42.2504747,-71.1267076
75 Waterhouse Rd,Bourne,Bourne High School,Public School,360505,41.7387041,-70.59287859999999
77 Waterhouse Road,Bourne,Bourne Middle School,Public School,360325,41.73867690000001,-70.5927669
41 Ernest Valerie Road,Bournedale,Bournedale Elementary School,Public School,360005,41.7599963,-70.5800704
70 Trowbridge Rd,Bourne,Peebles Elementary School,Public School,360010,41.74175899999999,-70.593221
26 Middleton Rd,Boxford,Harry Lee Cole,Public School,380005,42.6603741,-71.00285989999999
31 Spofford Road,Boxford,Spofford Pond,Public School,380013,42.6968616,-71.01744
200 Sewall Street,Boylston,Boylston Elementary,Public School,390005,42.33121149999999,-71.7397836
260 Liberty Street,Braintree,Archie T Morrison,Public School,400033,42.2103256,-70.9791295
128 Town Street,Braintree,Braintree High,Public School,400505,42.2050285,-71.0189443
20 Hayward Street,Braintree,Donald Ross,Public School,400050,42.2288129,-70.9868999
305 River St.,Braintree,East Middle School,Public School,400305,42.219735,-70.988291
144 Wildwood Avenue,Braintree,Highlands,Public School,400015,42.1776017,-71.0050897
482 Washington Street,Braintree,Hollis,Public School,400005,42.2160166,-71.0028183
49 Proctor Rd,Braintree,Liberty,Public School,400025,42.18710360000001,-70.9935835
99 Lakeside Dr,Braintree,Mary E Flaherty School,Public School,400020,42.2214002,-71.017668
25 Brow Avenue,Braintree,Monatiquot Kindergarten Center,Public School,400009,42.2109467,-71.0063971
232 Peach Street,Braintree,South Middle School,Public School,400310,42.184408,-70.997913
2298 Main Street,Brewster,Eddy Elementary,Public School,410010,41.7617516,-70.069902
