school id,year,percent attending college/univ,percent attending prive two year,percent attending private four year,percent attending public two year,percent attending public four year
1030505,2004,63.3,0.0,12.6,61.3,26.1
1050505,2004,49.4,0.0,20.5,20.5,59.0
1070505,2004,48.9,0.0,27.7,31.4,40.9
1100505,2004,58.7,0.0,17.6,31.1,51.4
1110505,2004,65.8,0.0,23.1,51.9,25.0
1140505,2004,61.3,1.5,7.4,64.7,26.5
1170505,2004,46.2,0.0,38.9,27.8,33.3
1220505,2004,50.3,0.0,38.4,19.8,41.9
1250505,2004,50.5,0.0,28.0,16.0,56.0
1270505,2004,48.4,0.0,20.0,26.7,53.3
1280505,2004,58.7,0.4,13.6,53.0,33.1
1310505,2004,38.0,0.0,59.5,8.9,31.6
1330505,2004,53.5,0.0,21.1,44.7,34.2
1360505,2004,45.7,0.0,41.9,19.8,38.4
1370505,2004,64.4,0.0,17.9,61.0,21.1
1370605,2004,35.1,0.0,0.0,100.0,0.0
1380505,2004,44.3,0.0,37.0,11.1,51.9
1390505,2004,41.3,1.3,39.5,10.5,48.7
1410505,2004,54.8,0.0,29.7,18.7,51.6
1420505,2004,49.4,2.3,29.5,29.5,38.6
1440505,2004,55.1,0.0,24.6,49.2,26.2
1500505,2004,51.6,0.0,14.3,59.2,26.5
1510505,2004,65.7,0.0,22.7,33.0,44.3
1520505,2004,56.9,0.0,36.4,48.5,15.2
1530505,2004,56.8,0.0,16.9,32.0,51.2
1530605,2004,26.4,0.0,5.3,78.9,15.8
1550505,2004,34.5,0.0,63.8,7.8,28.4
1580505,2004,59.4,0.0,22.0,24.4,53.7
1590505,2004,50.8,0.0,33.3,30.2,36.4
1600505,2004,54.4,2.3,12.6,51.5,33.7
1610505,2004,67.4,0.0,16.4,65.6,18.0
1620505,2004,57.0,0.0,17.4,26.1,56.5
1630505,2004,61.9,0.5,17.5,45.5,36.5
1630510,2004,55.1,1.2,14.9,50.9,32.9
1630605,2004,36.6,4.4,10.3,77.9,7.4
1640505,2004,56.2,0.0,45.6,26.5,27.9
1650505,2004,45.6,0.7,24.3,34.2,40.8
1670505,2004,45.2,2.5,27.7,21.8,47.9
1680505,2004,41.1,0.0,30.6,28.2,41.2
1700505,2004,49.8,0.0,29.3,22.4,48.3
1710505,2004,48.8,0.6,34.6,18.5,46.3
1720505,2004,52.0,0.0,24.2,40.9,34.8
1740505,2004,45.7,0.0,34.4,40.6,25.0
1750505,2004,31.7,0.0,40.4,8.8,50.9
1760505,2004,58.6,0.0,36.7,23.0,40.3
1760605,2004,19.0,0.0,16.7,66.7,16.7
1770505,2004,54.3,0.0,21.8,18.8,59.4
1780505,2004,55.2,0.0,44.9,11.8,43.3
1810505,2004,64.1,0.4,16.3,48.5,34.8
1820505,2004,48.1,0.0,22.8,32.7,44.6
1850505,2004,46.1,0.0,26.1,19.8,54.1
1860505,2004,61.8,0.0,28.6,33.3,38.1
1870505,2004,56.5,0.0,31.4,28.6,40.0
1890505,2004,45.5,0.0,40.6,19.8,39.6
1970505,2004,30.0,0.0,62.5,4.2,33.3
1980505,2004,51.3,0.0,33.8,25.0,41.2
1990505,2004,40.1,0.0,41.4,12.1,46.6
2010505,2004,60.6,0.0,10.1,43.1,46.8
2040505,2004,48.0,0.0,22.2,37.5,40.3
2070505,2004,38.7,0.0,49.0,22.1,28.9
2070510,2004,38.5,0.0,57.0,7.4,35.6
2090505,2004,38.1,0.0,25.0,32.5,42.5
2100505,2004,48.7,0.0,26.3,43.2,30.5
2110505,2004,58.9,0.0,38.8,30.2,30.9
2120505,2004,44.0,2.7,17.1,18.9,61.3
2140505,2004,45.0,0.0,24.1,31.0,44.8
2150505,2004,45.2,0.0,15.8,36.8,47.4
2170505,2004,64.4,1.1,27.7,26.6,44.7
2180505,2004,47.9,3.0,16.4,29.9,50.7
2190505,2004,46.7,0.0,49.2,9.5,41.3
2200505,2004,44.1,0.0,30.5,26.7,42.9
2260505,2004,48.3,0.0,33.3,25.0,41.7
2270505,2004,57.5,0.0,16.9,62.3,20.8
2290510,2004,59.0,0.9,23.3,30.1,45.7
2360505,2004,53.7,0.0,6.3,57.5,36.3
2360510,2004,47.8,0.0,7.9,58.4,33.7
2390505,2004,51.2,1.8,19.3,30.3,48.6
2390515,2004,58.5,0.8,33.1,34.7,31.4
2430505,2004,50.3,2.7,30.6,40.1,26.5
2430510,2004,59.6,0.0,32.6,25.1,42.2
2440505,2004,58.9,0.0,27.7,34.8,37.5
