school_id,year,success_raw,success_letter
06550505,2009,9.37,A
06550505,2010,9.275,A
06550505,2011,9.401,A
06550505,2012,9.57,A
06550505,2013,9.615,A
06550505,2014,9.616,A
00510025,2007,8.357,A
00510025,2008,8.216,A
00510025,2009,8.724,A
00510025,2010,8.354,A
00510025,2011,8.716,A
00510025,2012,9.253,A
00510025,2013,8.879,A
01710505,2006,7.938,P
01710505,2007,8.006,P
01710505,2008,8.148,A
01710505,2009,8.156,A
01710505,2010,8.409,A
01710505,2011,8.553,A
01710505,2012,8.607,A
01710505,2013,8.832,A
01710505,2014,8.656,A
00950335,2014,4.306,NI
06730305,2006,7.118,P
06730305,2007,7.531,P
06730305,2008,7.897,P
06730305,2009,7.75,P
06730305,2010,7.969,P
06730305,2011,7.904,P
06730305,2012,7.969,P
06730305,2013,7.971,P
06730305,2014,7.394,P
04400205,2006,7.179,P
04400205,2007,7.981,P
04400205,2008,7.75,P
04400205,2009,8.0,P
04400205,2010,8.429,A
04400205,2011,8.219,A
04400205,2012,7.437,P
04400205,2013,8.333,A
04400205,2014,8.393,A
07750315,2006,7.654,P
07750315,2007,7.62,P
07750315,2008,7.76,P
07750315,2009,7.718,P
07750315,2010,7.997,P
07750315,2011,8.1,P
07750315,2012,7.668,P
07750315,2013,7.801,P
07750315,2014,7.383,P
00100505,2006,8.37,A
00100505,2007,8.286,A
00100505,2008,8.76,A
00100505,2009,8.781,A
00100505,2010,8.796,A
00100505,2011,9.053,A
00100505,2012,9.079,A
00100505,2013,9.128,A
00100505,2014,9.367,A
02810620,2006,4.801,W
02810620,2007,5.305,W
02810620,2008,5.931,W
02810620,2009,5.782,W
02810620,2010,5.724,W
02810620,2011,6.154,W
02810620,2012,6.879,P
02810620,2013,7.236,P
02810620,2014,6.811,P
04930505,2007,5.417,W
04930505,2008,4.75,W
04930505,2009,6.319,P
04930505,2010,7.083,P
04930505,2011,7.321,P
04930505,2012,7.578,P
04930505,2013,6.976,P
04930505,2014,7.269,P
00350257,2007,4.304,NI
00350257,2008,4.424,W
00350257,2009,4.493,W
00350257,2010,4.656,W
00350257,2011,5.181,W
00350257,2012,5.856,W
00350257,2013,6.742,P
00350257,2014,5.978,W
00490030,2007,5.0,W
00490030,2008,6.029,W
00490030,2009,6.42,P
00490030,2010,6.042,W
00490030,2011,7.734,P
00490030,2012,7.344,P
02430315,2006,6.869,P
02430315,2007,7.228,P
02430315,2008,7.455,P
02430315,2009,7.61,P
02430315,2010,7.327,P
02430315,2011,7.246,P
02430315,2012,7.318,P
02430315,2013,7.876,P
02430315,2014,7.304,P
08600605,2006,5.791,W
08600605,2007,6.058,W
08600605,2008,6.9,P
08600605,2009,6.931,P
08600605,2010,6.995,P
08600605,2011,7.307,P
08600605,2012,7.281,P
08600605,2013,7.458,P
08600605,2014,7.081,P
00350435,2008,5.172,W
00350435,2009,5.625,W
00350435,2010,5.78,W
00350435,2011,5.491,W
00350435,2007,5.719,W
04860105,2006,5.739,W
04860105,2007,6.042,W
04860105,2008,6.031,W
04860105,2009,6.372,P
04860105,2010,5.943,W
04860105,2011,5.159,W
04860105,2012,5.877,W
04860105,2013,5.417,W
04860105,2014,5.955,W
01780505,2006,7.517,P
01780505,2007,8.131,A
01780505,2008,8.151,A
01780505,2009,8.524,A
01780505,2010,8.335,A
01780505,2011,8.174,A
01780505,2012,8.342,A
01780505,2013,8.728,A
01780505,2014,8.767,A
02770415,2013,5.736,W
02770415,2014,5.712,W
06030505,2006,6.9,P
06030505,2007,7.098,P
06030505,2008,7.488,P
06030505,2009,7.642,P
06030505,2010,7.406,P
06030505,2011,6.89,P
06030505,2012,7.083,P
06030505,2013,6.859,P
06030505,2014,6.768,P
02040305,2006,6.575,P
02040305,2007,7.177,P
02040305,2008,7.376,P
02040305,2009,7.227,P
02040305,2010,7.75,P
02040305,2011,7.737,P
02040305,2012,7.485,P
02040305,2013,8.298,A
02040305,2014,7.737,P
02700305,2006,7.009,P
02700305,2007,6.745,P
02700305,2008,7.004,P
02700305,2009,7.238,P
02700305,2010,6.705,P
02700305,2011,6.708,P
00640505,2006,7.234,P
00640505,2007,7.917,P
00640505,2008,7.59,P
00640505,2009,7.579,P
00640505,2010,7.403,P
00640505,2011,7.887,P
00640505,2012,8.213,A
00640505,2013,8.423,A
00640505,2014,7.67,P
01490536,2009,5.5,W
01490536,2010,6.406,P
